nom_pkmn,nom_pkmn_us,num_pokedex,url_image,url_cri,type_1,type_2,taille_m,poids_kg,talent_1,talent_2,talent_cache,sexe,taux_de_capture,cycle_eclosion,groupe_oeuf_1,groupe_oeuf_2,points_effort,points_exp,exp_niv100,pv,attaque,attaque_speciale,defense,defense_speciale,vitesse
Bargantua,Basculin,0550,/images/thumb/f/fa/Bargantua_%28Motif_Blanc%29-LPA.png/250px-Bargantua_%28Motif_Blanc%29-LPA.png,/images/e/e6/Cri_0550_HOME.ogg,Eau,,"1,0","18,0",,,,50 % femelle; 50 % mâle,25,40,Aquatique 2,,+2 Vit.,161 exp.,1 000 000 exp.,,92,65,65,55,98
Fragilady de Hisui,Hisuian Lilligant,0549,/images/thumb/4/4d/Fragilady_de_Hisui-LPA.png/250px-Fragilady_de_Hisui-LPA.png,/images/0/0f/Cri_0549_HOME.ogg,Plante,Combat,"1,2","19,2",Chlorophylle,Agitation,Feuille Garde,100 % femelle; 0 % mâle,75,20,Végétal,,+1 Att ; +1 Vit.,168 exp.,1 000 000 exp.,70,105,75,75,75,105
Venipatte,Venipede,0543,/images/thumb/1/13/Venipatte-NB.png/250px-Venipatte-NB.png,/images/f/f0/Cri_0543_HOME.ogg,Insecte,Poison,"0,4","5,3",Point Poison,Essaim,Turbo,50 % femelle; 50 % mâle,255,15,Insectoïde,,+1 Déf.,52 exp.,1 059 860 exp.,30,45,59,59,39,57
Manternel,Leavanny,0542,/images/thumb/d/d9/Manternel-NB.png/250px-Manternel-NB.png,/images/5/54/Cri_0542_HOME.ogg,Insecte,Plante,"1,2","20,5",Essaim,Chlorophylle,Envelocape,50 % femelle; 50 % mâle,45,15,Insectoïde,,+3 Att.,221 exp.,1 059 860 exp.,75,103,80,80,80,92
Couverdure,Swadloon,0541,/images/thumb/3/30/Couverdure-NB.png/250px-Couverdure-NB.png,/images/d/d3/Cri_0541_HOME.ogg,Insecte,Plante,"0,5","7,3",Feuille Garde,Chlorophylle,Envelocape,50 % femelle; 50 % mâle,120,15,Insectoïde,,+2 Déf.,133 exp.,1 059 860 exp.,55,63,90,90,80,42
Larveyette,Sewaddle,0540,/images/thumb/1/1f/Larveyette-NB.png/250px-Larveyette-NB.png,/images/0/01/Cri_0540_HOME.ogg,Insecte,Plante,"0,3","2,5",Essaim,Chlorophylle,Envelocape,50 % femelle; 50 % mâle,255,15,Insectoïde,,+1 Déf.,62 exp.,1 059 860 exp.,45,53,70,70,60,42
Karaclée,Sawk,0539,/images/thumb/f/f8/Karacl%C3%A9e-NB.png/250px-Karacl%C3%A9e-NB.png,/images/3/3c/Cri_0539_HOME.ogg,Combat,,"1,4","51,0",Fermeté,Attention,Brise Moule,0 % femelle; 100 % mâle,45,20,Humanoïde,,+2 Att.,163 exp.,1 000 000 exp.,75,125,75,75,75,85
Judokrak,Throh,0538,/images/thumb/c/c0/Judokrak-NB.png/250px-Judokrak-NB.png,/images/1/1b/Cri_0538_HOME.ogg,Combat,,"1,3","55,5",Cran,Attention,Brise Moule,0 % femelle; 100 % mâle,45,20,Humanoïde,,+2 PV,163 exp.,1 000 000 exp.,120,100,85,85,85,45
Crapustule,Seismitoad,0537,/images/thumb/8/8f/Crapustule-NB.png/250px-Crapustule-NB.png,/images/f/fd/Cri_0537_HOME.ogg,Eau,Sol,"1,5","62,0",Glissade,Toxitouche,Absorbe-Eau,50 % femelle; 50 % mâle,45,20,Aquatique 1,,+3 PV,225 exp.,1 059 860 exp.,105,95,75,75,75,74
Batracné,Palpitoad,0536,/images/thumb/f/f7/Batracn%C3%A9-NB.png/250px-Batracn%C3%A9-NB.png,/images/d/dc/Cri_0536_HOME.ogg,Eau,Sol,"0,8","17,0",Glissade,Hydratation,Absorbe-Eau,50 % femelle; 50 % mâle,120,20,Aquatique 1,,+2 PV,134 exp.,1 059 860 exp.,75,65,55,55,55,69
Tritonde,Tympole,0535,/images/thumb/5/5a/Tritonde-NB.png/250px-Tritonde-NB.png,/images/6/60/Cri_0535_HOME.ogg,Eau,,"0,5","4,5",Glissade,Hydratation,Absorbe-Eau,50 % femelle; 50 % mâle,255,20,Aquatique 1,,+1 Vit.,59 exp.,1 059 860 exp.,50,50,40,40,40,64
Bétochef,Conkeldurr,0534,/images/thumb/4/4d/B%C3%A9tochef-NB.png/250px-B%C3%A9tochef-NB.png,/images/6/6c/Cri_0534_HOME.ogg,Combat,,"1,4","87,0",Cran,Sans Limite,Poing de Fer,25 % femelle; 75 % mâle,45,20,Humanoïde,,+3 Att.,227 exp.,1 059 860 exp.,105,140,95,95,65,45
Ouvrifier,Gurdurr,0533,/images/thumb/e/e6/Ouvrifier-NB.png/250px-Ouvrifier-NB.png,/images/b/b2/Cri_0533_HOME.ogg,Combat,,"1,2","40,0",Cran,Sans Limite,Poing de Fer,25 % femelle; 75 % mâle,90,20,Humanoïde,,+2 Att.,142 exp.,1 059 860 exp.,85,105,85,85,50,40
Charpenti,Timburr,0532,/images/thumb/c/c0/Charpenti-NB.png/250px-Charpenti-NB.png,/images/9/93/Cri_0532_HOME.ogg,Combat,,"0,6","12,5",Cran,Sans Limite,Poing de Fer,25 % femelle; 75 % mâle,190,20,Humanoïde,,+1 Att.,61 exp.,1 059 860 exp.,75,80,55,55,35,35
Méga-Nanméouïe,Mega Audino,0531,/images/thumb/c/c2/M%C3%A9ga-Nanm%C3%A9ou%C3%AFe-ROSA.png/250px-M%C3%A9ga-Nanm%C3%A9ou%C3%AFe-ROSA.png,/images/7/74/Cri_0531_M%C3%A9ga_HOME.ogg,Normal,Fée,"1,5","32,0",Cœur Soin,,,50 % femelle; 50 % mâle,,,,,,,,103,60,126,126,126,50
Nanméouïe,Audino,0531,/images/thumb/4/4c/Nanm%C3%A9ou%C3%AFe-NB.png/250px-Nanm%C3%A9ou%C3%AFe-NB.png,/images/e/e6/Cri_0531_HOME.ogg,Normal,,"1,1","31,0",Cœur Soin,Régé-Force,Maladresse,50 % femelle; 50 % mâle,255,20,Féerique,,+2 PV,390 exp.,800 000 exp.,103,60,86,86,86,50
Minotaupe,Excadrill,0530,/images/thumb/2/26/Minotaupe-NB.png/250px-Minotaupe-NB.png,/images/c/c4/Cri_0530_HOME.ogg,Sol,Acier,"0,7","40,4",Baigne Sable,Force Sable,Brise Moule,50 % femelle; 50 % mâle,60,20,Terrestre,,+2 Att.,178 exp.,1 000 000 exp.,110,135,60,60,65,88
Rototaupe,Drilbur,0529,/images/thumb/a/a9/Rototaupe-NB.png/250px-Rototaupe-NB.png,/images/a/ad/Cri_0529_HOME.ogg,Sol,,"0,3","8,5",Baigne Sable,Force Sable,Brise Moule,50 % femelle; 50 % mâle,120,20,Terrestre,,+1 Att.,66 exp.,1 000 000 exp.,60,85,40,40,45,68
Rhinolove,Swoobat,0528,/images/thumb/9/94/Rhinolove-NB.png/250px-Rhinolove-NB.png,/images/3/3c/Cri_0528_HOME.ogg,Psy,Vol,"0,9","10,5",Inconscient,Maladresse,Simple,50 % femelle; 50 % mâle,45,15,Terrestre,Aérien,+2 Vit.,149 exp.,1 000 000 exp.,67,57,55,55,55,114
Chovsourir,Woobat,0527,/images/thumb/b/ba/Chovsourir-NB.png/250px-Chovsourir-NB.png,/images/8/89/Cri_0527_HOME.ogg,Psy,Vol,"0,4","2,1",Inconscient,Maladresse,Simple,50 % femelle; 50 % mâle,190,15,Terrestre,Aérien,+1 Vit.,63 exp.,1 000 000 exp.,65,45,43,43,43,72
Gigalithe,Gigalith,0526,/images/thumb/b/ba/Gigalithe-NB.png/250px-Gigalithe-NB.png,/images/9/9d/Cri_0526_HOME.ogg,Roche,,"1,7","260,0",Fermeté,Sable Volant,Force Sable,50 % femelle; 50 % mâle,45,15,Minéral,,+3 Att.,227 exp.,1 059 860 exp.,85,135,130,130,80,25
Géolithe,Boldore,0525,/images/thumb/9/99/G%C3%A9olithe-NB.png/250px-G%C3%A9olithe-NB.png,/images/2/29/Cri_0525_HOME.ogg,Roche,,"0,9","102,0",Fermeté,Armurouillée,Force Sable,50 % femelle; 50 % mâle,120,15,Minéral,,+1 Att. ; +1 Déf.,137 exp.,1 059 860 exp.,70,105,105,105,40,20
Nodulithe,Roggenrola,0524,/images/thumb/2/2d/Nodulithe-NB.png/250px-Nodulithe-NB.png,/images/7/7e/Cri_0524_HOME.ogg,Roche,,"0,4","18,0",,,,50 % femelle; 50 % mâle,255,15,Minéral,,+1 Déf.,56 exp.,1 059 860 exp.,55,75,85,85,25,15
Zéblitz,Zebstrika,0523,/images/thumb/f/f5/Z%C3%A9blitz-NB.png/250px-Z%C3%A9blitz-NB.png,/images/f/f7/Cri_0523_HOME.ogg,Électrik,,"1,6","79,5",Paratonnerre,Motorisé,Herbivore,50 % femelle; 50 % mâle,75,20,Terrestre,,+2 Vit.,174 exp.,1 000 000 exp.,75,100,63,63,63,116
Zébibron,Blitzle,0522,/images/thumb/1/1b/Z%C3%A9bibron-NB.png/250px-Z%C3%A9bibron-NB.png,/images/4/4e/Cri_0522_HOME.ogg,Électrik,,"0,8","29,8",Paratonnerre,Motorisé,Herbivore,50 % femelle; 50 % mâle,190,20,Terrestre,,+1 Vit.,59 exp.,1 000 000 exp.,45,60,32,32,32,76
Déflaisan,Unfezant,0521,/images/thumb/6/6c/D%C3%A9flaisan_%28Femelle%29-NB.png/250px-D%C3%A9flaisan_%28Femelle%29-NB.png,/images/b/b6/Cri_0521_HOME.ogg,Normal,Vol,"1,2","29,0",Cœur de Coq,Chanceux,Rivalité,50 % femelle; 50 % mâle,45,15,Aérien,,+3 Att.,215 exp.,1 059 860 exp.,80,115,80,80,55,93
Colombeau,Tranquill,0520,/images/thumb/6/6c/Colombeau-NB.png/250px-Colombeau-NB.png,/images/c/ca/Cri_0520_HOME.ogg,Normal,Vol,"0,6","15,0",Cœur de Coq ,Chanceux,Rivalité,50 % femelle; 50 % mâle,120,15,Aérien,,+2 Att.,125 exp.,1 059 860 exp.,62,77,62,62,42,65
Poichigeon,Pidove,0519,/images/thumb/4/40/Poichigeon-NB.png/250px-Poichigeon-NB.png,/images/1/1b/Cri_0519_HOME.ogg,Normal,Vol,"0,3","2,1",Cœur de Coq,Chanceux,Rivalité,50 % femelle; 50 % mâle,255,15,Aérien,,+1 Att.,53 exp.,1 059 860 exp.,50,55,50,50,30,43
Mushana,Musharna,0518,/images/thumb/a/a1/Mushana-NB.png/250px-Mushana-NB.png,/images/1/17/Cri_0518_HOME.ogg,Psy,,"1,1","60,5",Prédiction,Synchro,Télépathe,50 % femelle; 50 % mâle,75,10,Terrestre,,+2 PV,170 exp.,800 000 exp.,116,55,85,85,95,29
Munna,Munna,0517,/images/thumb/8/8c/Munna-NB.png/250px-Munna-NB.png,/images/a/a9/Cri_0517_HOME.ogg,Psy,,"0,6","23,3",Prédiction,Synchro,Télépathe,50 % femelle; 50 % mâle,190,10,Terrestre,,+1 PV,58 exp.,800 000 exp.,76,25,45,45,55,24
Flotoutan,Simipour,0516,/images/thumb/b/bc/Flotoutan-NB.png/250px-Flotoutan-NB.png,/images/3/38/Cri_0516_HOME.ogg,Eau,,"1,0","29,0",Gloutonnerie,,Torrent,12.5 % femelle; 87.5 % mâle,75,20,Terrestre,,+2 Vit.,174 exp.,1 000 000 exp.,75,98,63,63,63,101
Flotajou,Panpour,0515,/images/thumb/1/11/Flotajou-NB.png/250px-Flotajou-NB.png,/images/3/34/Cri_0515_HOME.ogg,Eau,,"0,6","13,5",Gloutonnerie,,Torrent,12.5 % femelle; 87.5 % mâle,190,20,Terrestre,,+1 Vit.,63 exp.,1 000 000 exp.,50,53,48,48,48,64
Flamoutan,Simisear,0514,/images/thumb/7/7b/Flamoutan-NB.png/250px-Flamoutan-NB.png,/images/7/71/Cri_0514_HOME.ogg,Feu,,"1,0","28,0",Gloutonnerie,,Brasier,12.5 % femelle; 87.5 % mâle,75,20,Terrestre,,+2 Vit.,174 exp.,1 000 000 exp.,75,98,63,63,63,101
Flamajou,Pansear,0513,/images/thumb/6/68/Flamajou-NB.png/250px-Flamajou-NB.png,/images/5/5e/Cri_0513_HOME.ogg,Feu,,"0,5","11,0",Gloutonnerie,,Brasier,12.5 % femelle; 87.5 % mâle,190,20,Terrestre,,+1 Vit.,63 exp.,1 000 000 exp.,50,53,48,48,48,64
Feuiloutan,Simisage,0512,/images/thumb/6/62/Feuiloutan-NB.png/250px-Feuiloutan-NB.png,/images/c/c8/Cri_0512_HOME.ogg,Plante,,"1,1","30,5",Gloutonnerie,,Engrais,12.5 % femelle; 87.5 % mâle,75,20,Terrestre,,+2 Vit.,174 exp.,1 000 000 exp.,75,98,63,63,63,101
Feuillajou,Pansage,0511,/images/thumb/a/aa/Feuillajou-NB.png/250px-Feuillajou-NB.png,/images/7/76/Cri_0511_HOME.ogg,Plante,,"0,6","10,5",Gloutonnerie,,Engrais,12.5 % femelle; 87.5 % mâle,190,20,Terrestre,,+1 Vit.,63 exp.,1 000 000 exp.,50,53,48,48,48,64
Léopardus,Liepard,0510,/images/thumb/7/7f/L%C3%A9opardus-NB.png/250px-L%C3%A9opardus-NB.png,/images/2/24/Cri_0510_HOME.ogg,Ténèbres,,"1,1","37,5",Échauffement,Délestage,Farceur,50 % femelle; 50 % mâle,90,20,Terrestre,,+2 Vit.,156 exp.,1 000 000 exp.,64,88,50,50,50,106
Chacripan,Purrloin,0509,/images/thumb/5/59/Chacripan-NB.png/250px-Chacripan-NB.png,/images/d/de/Cri_0509_HOME.ogg,Ténèbres,,"0,4","10,1",Échauffement,Délestage,Farceur,50 % femelle; 50 % mâle,255,20,Terrestre,,+1 Vit.,56 exp.,1 000 000 exp.,41,50,37,37,37,66
Mastouffe,Stoutland,0508,/images/thumb/9/90/Mastouffe-NB.png/250px-Mastouffe-NB.png,/images/7/75/Cri_0508_HOME.ogg,Normal,,"1,2","61,0",Intimidation,Baigne Sable,Querelleur,50 % femelle; 50 % mâle,45,15,Terrestre,,+3 Att.,221 exp.,1 059 860 exp.,85,110,90,90,90,80
Ponchien,Herdier,0507,/images/thumb/9/99/Ponchien-NB.png/250px-Ponchien-NB.png,/images/7/7e/Cri_0507_HOME.ogg,Normal,,"0,9","14,7",Intimidation,Baigne Sable,Querelleur,50 % femelle; 50 % mâle,120,15,Terrestre,,+2 Att.,130 exp.,1 059 860 exp.,65,80,65,65,65,60
Ponchiot,Lillipup,0506,/images/thumb/8/8b/Ponchiot-NB.png/250px-Ponchiot-NB.png,/images/d/da/Cri_0506_HOME.ogg,Normal,,"0,4","4,1",Esprit Vital,Ramassage,Fuite,50 % femelle; 50 % mâle,255,15,Terrestre,,+1 Att.,55 exp.,1 059 860 exp.,45,60,45,45,45,55
Miradar,Watchog,0505,/images/thumb/8/82/Miradar-NB.png/250px-Miradar-NB.png,/images/5/56/Cri_0505_HOME.ogg,Normal,,"1,1","27,0",Lumiattirance,Regard Vif,Analyste,50 % femelle; 50 % mâle,255,20,Terrestre,,+1 Att.,147 exp.,1 000 000 exp.,60,85,69,69,69,77
Ratentif,Patrat,0504,/images/thumb/1/10/Ratentif-NB.png/250px-Ratentif-NB.png,/images/a/ac/Cri_0504_HOME.ogg,Normal,,"0,5","11,6",Fuite,Regard Vif,Analyste,50 % femelle; 50 % mâle,255,15,Terrestre,,+1 Att.,51 exp.,1 000 000 exp.,45,55,39,39,39,42
Clamiral de Hisui,Hisuian Samurott,0503,/images/thumb/2/22/Clamiral_de_Hisui-LPA.png/250px-Clamiral_de_Hisui-LPA.png,/images/2/29/Cri_0503_HOME.ogg,Eau,Ténèbres,"1,5","58,2",Torrent,,Incisif,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+3 Att.,238 exp.,1 059 860 exp.,90,108,80,80,65,85
Clamiral,Samurott,0503,/images/thumb/6/64/Clamiral-NB.png/250px-Clamiral-NB.png,/images/2/29/Cri_0503_HOME.ogg,Eau,,"1,5","94,6",Torrent,,Coque Armure,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+3 Att. Spé.,238 exp.,1 059 860 exp.,95,100,85,85,70,70
Mateloutre,Dewott,0502,/images/thumb/8/82/Mateloutre-NB.png/250px-Mateloutre-NB.png,/images/3/3f/Cri_0502_HOME.ogg,Eau,,"0,8","24,5",Torrent,,Coque Armure,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+2 Att. Spé.,145 exp.,1 059 860 exp.,75,75,60,60,60,60
Moustillon,Oshawott,0501,/images/thumb/b/b4/Moustillon-LPA.png/250px-Moustillon-LPA.png,/images/6/6e/Cri_0501_HOME.ogg,Eau,,"0,5","5,9",Torrent,,Coque Armure,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+1 Att. Spé.,28 exp.,1 059 860 exp.,55,55,45,45,45,45
Roitiflam,Emboar,0500,/images/thumb/c/c7/Roitiflam-NB.png/250px-Roitiflam-NB.png,/images/7/76/Cri_0500_HOME.ogg,Feu,Combat,"1,6","150,0",Brasier,,Téméraire,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+3 Att.,238 exp.,1 059 860 exp.,110,123,65,65,65,65
Grotichon,Pignite,0499,/images/thumb/6/69/Grotichon-NB.png/250px-Grotichon-NB.png,/images/1/1e/Cri_0499_HOME.ogg,Feu,Combat,"1,0","55,5",Brasier,,Isograisse,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+2 Att.,146 exp.,1 059 860 exp.,90,93,55,55,55,55
Gruikui,Tepig,0498,/images/thumb/f/f1/Gruikui-N2B2.png/250px-Gruikui-N2B2.png,/images/5/5e/Cri_0498_HOME.ogg,Feu,,"0,5","9,9",Brasier,,Isograisse,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,,+1 PV,28 exp.,1 059 860 exp.,65,63,45,45,45,45
Majaspic,Serperior,0497,/images/thumb/5/55/Majaspic-NB.png/250px-Majaspic-NB.png,/images/c/c0/Cri_0497_HOME.ogg,Plante,,"3,3","63,0",Engrais,,Contestation,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Végétal,+3 Vit.,238 exp.,1 059 860 exp.,75,75,95,95,95,113
Lianaja,Servine,0496,/images/thumb/c/c0/Lianaja-NB.png/250px-Lianaja-NB.png,/images/7/7f/Cri_0496_HOME.ogg,Plante,,"0,8","16,0",Engrais,,Contestation,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Végétal,+2 Vit.,145 exp.,1 059 860 exp.,60,60,75,75,75,83
Vipélierre,Snivy,0495,/images/thumb/f/f1/Vip%C3%A9lierre-N2B2.png/250px-Vip%C3%A9lierre-N2B2.png,/images/f/ff/Cri_0495_HOME.ogg,Plante,,"0,6","8,1",Engrais,,Contestation,12.5 % femelle; 87.5 % mâle,45,20,Terrestre,Végétal,+1 Vit.,28 exp.,1 059 860 exp.,45,45,55,55,55,63
Victini,Victini,0494,/images/thumb/d/d9/Victini-NB.png/250px-Victini-NB.png,/images/f/fe/Cri_0494_HOME.ogg,Psy,Feu,"0,4","4,0",Victorieux,,,Asexué,3,120,Inconnu,,+3 PV,270 exp.,1 250 000 exp.,100,100,100,100,100,100
Arceus,Arceus,0493,/images/thumb/2/26/Arceus-DEPS.png/250px-Arceus-DEPS.png,/images/2/21/Cri_0493_HOME.ogg,Normal,,"3,2","320,0",Multitype,,,Asexué,3,120,Inconnu,,+3 PV,324 exp.,1 250 000 exp.,120,120,120,120,120,120
Darkrai,Darkrai,0491,/images/thumb/1/17/Darkrai-DEPS.png/250px-Darkrai-DEPS.png,/images/0/06/Cri_0491_HOME.ogg,Ténèbres,,"1,5","50,5",Mauvais Rêve,,,Asexué,3,120,Inconnu,,+2 Att. Spé ; +1 Vit.,210 exp.,1 250 000 exp.,70,90,90,90,90,125
Manaphy,Manaphy,0490,/images/thumb/5/52/Manaphy-DEPS.png/250px-Manaphy-DEPS.png,/images/6/68/Cri_0490_HOME.ogg,Eau,,"0,3","1,4",Hydratation,,,Asexué,3,10,Aquatique 1,Féerique,+3 PV,215 exp.,1 250 000 exp.,100,100,100,100,100,100
Phione,Phione,0489,/images/thumb/c/ca/Phione-DEPS.png/250px-Phione-DEPS.png,/images/d/d6/Cri_0489_HOME.ogg,Eau,,"0,4","3,1",Hydratation,,,Asexué,30,40,Aquatique 1,Féerique,+1 PV,165 exp.,1 250 000 exp.,80,80,80,80,80,80
Cresselia,Cresselia,0488,/images/thumb/a/a5/Cresselia-DEPS.png/250px-Cresselia-DEPS.png,/images/b/b0/Cri_0488_HOME.ogg,Psy,,"1,5","85,6",Lévitation,,,100 % femelle; 0 % mâle,3,120,Inconnu,,+3 Déf. Spé,210 exp.,1 250 000 exp.,120,70,120,120,130,85
Regigigas,Regigigas,0486,/images/thumb/0/0a/Regigigas-DEPS.png/250px-Regigigas-DEPS.png,/images/3/3b/Cri_0486_HOME.ogg,Normal,,"3,7","420,0",Début Calme,,,Asexué,3,120,Inconnu,,+3 Att.,220 exp.,1 250 000 exp.,110,160,110,110,110,100
Heatran,Heatran,0485,/images/thumb/c/c2/Heatran-DEPS.png/250px-Heatran-DEPS.png,/images/d/db/Cri_0485_HOME.ogg,Feu,Acier,"1,7","430,0",Torche,,Corps Ardent,50 % femelle; 50 % mâle,3,10,Inconnu,,+3 Att. Spé,215 exp.,1 250 000 exp.,91,90,106,106,106,77
Créfadet,Azelf,0482,/images/thumb/8/87/Cr%C3%A9fadet-DEPS.png/250px-Cr%C3%A9fadet-DEPS.png,/images/2/2c/Cri_0482_HOME.ogg,Psy,,"0,3","0,3",Lévitation,,,Asexué,3,80,Inconnu,,+2 Att. ; +1 Att. Spé,210 exp.,1 250 000 exp.,75,125,70,70,70,115
Créfollet,Mesprit,0481,/images/thumb/b/b9/Cr%C3%A9follet-DEPS.png/250px-Cr%C3%A9follet-DEPS.png,/images/9/9b/Cri_0481_HOME.ogg,Psy,,"0,3","0,3",Lévitation,,,Asexué,3,80,Inconnu,,+1 Att. Spé ; +1 Déf. Spé ; +1 Vit.,210 exp.,1 250 000 exp.,80,105,105,105,105,80
Créhelf,Uxie,0480,/images/thumb/d/d0/Cr%C3%A9helf-DEPS.png/250px-Cr%C3%A9helf-DEPS.png,/images/4/43/Cri_0480_HOME.ogg,Psy,,"0,3","0,3",Lévitation,,,Asexué,3,80,Inconnu,,+2 Déf. ; +1 Déf. Spé,210 exp.,1 250 000 exp.,75,75,130,130,130,95
Motisma,Rotom,0479,/images/thumb/d/dd/Motisma_%28Forme_Normale%29-DEPS.png/250px-Motisma_%28Forme_Normale%29-DEPS.png,/images/7/77/Cri_0479_HOME.ogg,Constitué,,"0,3","0,3",Lévitation,,,Asexué,45,20,Amorphe,,+1 Att. Spé ; +1 Vit.,132 exp.,1 000 000 exp.,50,50,77,77,77,91
Momartik,Froslass,0478,/images/thumb/3/32/Momartik-DP.png/250px-Momartik-DP.png,/images/c/cc/Cri_0478_HOME.ogg,Glace,Spectre,"1,3","26,6",Rideau Neige,,Corps Maudit,100 % femelle; 0 % mâle,75,20,Féerique,Minéral,+2 Vit.,187 exp.,1 000 000 exp.,70,80,70,70,70,110
Noctunoir,Dusknoir,0477,/images/thumb/c/ce/Noctunoir-DP.png/250px-Noctunoir-DP.png,/images/0/04/Cri_0477_HOME.ogg,Spectre,,"2,2","106,6",Pression,,Fouille,50 % femelle; 50 % mâle,45,25,Amorphe,,+1 Déf. ; +2 Déf. Spé,210 exp.,800 000 exp.,45,100,135,135,135,45
Tarinorme,Probopass,0476,/images/thumb/b/b4/Tarinorme-DP.png/250px-Tarinorme-DP.png,/images/c/c6/Cri_0476_HOME.ogg,Roche,Acier,"1,4","340,0",Fermeté,Magnépiège,Force Sable,50 % femelle; 50 % mâle,60,20,Minéral,,+1 Déf. ; +2 Déf. Spé,198 exp.,1 000 000 exp.,60,55,145,145,150,40
Méga-Gallame,Mega Gallade,0475,/images/thumb/8/87/M%C3%A9ga-Gallame-ROSA.png/250px-M%C3%A9ga-Gallame-ROSA.png,/images/a/aa/Cri_0475_M%C3%A9ga_HOME.ogg,Psy,Combat,"1,6","56,4",Attention,,,0 % femelle; 100 % mâle,,,,,,,,68,165,95,95,115,110
Gallame,Gallade,0475,/images/thumb/2/22/Gallame-DP.png/250px-Gallame-DP.png,/images/c/c2/Cri_0475_HOME.ogg,Psy,Combat,"1,6","52,0",Impassible,Incisif,Cœur Noble,0 % femelle; 100 % mâle,60,20,Amorphe,Humanoïde,+3 Att.,208 exp.,1 250 000 exp.,68,125,65,65,115,80
Porygon-Z,Porygon-Z,0474,/images/thumb/8/80/Porygon-Z-DP.png/250px-Porygon-Z-DP.png,/images/f/f8/Cri_0474_HOME.ogg,Normal,,"0,9","34,0",Adaptabilité ,Télécharge,Analyste,Asexué,30,20,Minéral,,+3 Att. Spé,185 exp.,1 000 000 exp.,85,80,70,70,75,90
Mammochon,Mamoswine,0473,/images/thumb/3/3c/Mammochon-DP.png/250px-Mammochon-DP.png,/images/2/26/Cri_0473_HOME.ogg,Glace,Sol,"2,5","291,0",Benêt,Rideau Neige,Isograisse,50 % femelle; 50 % mâle,50,20,Terrestre,,+3 Att.,207 exp.,1 250 000 exp.,110,130,80,80,60,80
Scorvol,Gliscor,0472,/images/thumb/8/82/Scorvol-DEPS.png/250px-Scorvol-DEPS.png,/images/b/b8/Cri_0472_HOME.ogg,Sol,Vol,"2,0","42,5",Hyper Cutter,Voile Sable,Soin Poison,50 % femelle; 50 % mâle,30,20,Insectoïde,,+2 Déf.,192 exp.,1 059 860 exp.,75,95,125,125,75,95
Givrali,Glaceon,0471,/images/thumb/1/1b/Givrali-DEPS.png/250px-Givrali-DEPS.png,/images/f/f9/Cri_0471_HOME.ogg,Glace,,"0,8","25,9",Rideau Neige,,Corps Gel,12.5 % femelle; 87.5 % mâle,45,35,Terrestre,,+2 Att. Spé,196 exp.,1 000 000 exp.,65,60,110,110,95,65
Phyllali,Leafeon,0470,/images/thumb/f/ff/Phyllali-DEPS.png/250px-Phyllali-DEPS.png,/images/6/65/Cri_0470_HOME.ogg,Plante,,"1,0","25,5",Feuille Garde,,Chlorophylle,12.5 % femelle; 87.5 % mâle,45,35,Terrestre,,+2 Déf.,196 exp.,1 000 000 exp.,65,110,130,130,65,95
Yanmega,Yanmega,0469,/images/thumb/f/f2/Yanmega-DP.png/250px-Yanmega-DP.png,/images/e/e4/Cri_0469_HOME.ogg,Insecte,Vol,"1,9","51,5",Turbo,Lentiteintée,Fouille,50 % femelle; 50 % mâle,30,20,Insectoïde,,+2 Att.,198 exp.,1 000 000 exp.,86,76,86,86,56,95
Togekiss,Togekiss,0468,/images/thumb/0/02/Togekiss-DP.png/250px-Togekiss-DP.png,/images/5/54/Cri_0468_HOME.ogg,Fée,Vol,"1,5","38,0",Sérénité,Agitation,Chanceux,12.5 % femelle; 87.5 % mâle,30,10,Aérien,Féerique,+2 Att. Spé ; +1 Déf. Spé,220 exp.,800 000 exp.,85,50,95,95,115,80
Maganon,Magmortar,0467,/images/thumb/c/cc/Maganon-DEPS.png/250px-Maganon-DEPS.png,/images/7/70/Cri_0467_HOME.ogg,Feu,,"1,6","68,0",Corps Ardent,,Esprit Vital,25 % femelle; 75 % mâle,30,25,Humanoïde,,+3 Att. Spé,199 exp.,1 000 000 exp.,75,95,67,67,95,83
Rhinastoc,Rhyperior,0464,/images/thumb/3/34/Rhinastoc-DP.png/250px-Rhinastoc-DP.png,/images/f/fd/Cri_0464_HOME.ogg,Sol,Roche,"2,4","282,8",Paratonnerre,Solide Roc,Téméraire,50 % femelle; 50 % mâle,30,20,Monstrueux,Terrestre,+3 Att.,241 exp. (217 (Quatrième génération)),1 250 000 exp.,115,140,130,130,55,40
